run_id,datetime,random_seed,model_phase1,model_phase2,temperature,prompt_variant,spec_status,sample_selection,outcome_definition,treatment_definition,model_type,model_specification_line,control_variables,fixed_effects,sample_weighting,se_adjustment,point_est,SE,sample_size,execution_status
run_20260129T151345Z_be113f,2026-01-29T15:13:45Z,,gpt-5.1-codex-mini,gpt-5.1-codex-mini,,,available,"year in [2013,2014,2015,2016] | hispan==1 | birthyr between 1982 and 1991 inclusive",fulltime = (uhrswork >= 35),eligible_daca = (birthyr between 1982 and 1991 and yrimmig>0),WLS,"sm.WLS(fulltime, sm.add_constant(pd.concat([eligible_daca, pd.get_dummies(year,prefix=""year"",drop_first=True)],axis=1)), weights=perwt).fit()",,,perwt,,,,,failed_validation
run_20260129T193609Z_d336f7,2026-01-29T19:36:09Z,,gpt-5.1-codex-mini,gpt-5.1-codex-mini,,,missing_spec,,,,,,,,,,,,,no_results
run_20260131T065815Z_89322c,2026-01-31T06:58:15Z,,gpt-5.1-codex-mini,gpt-5.1-codex-mini,,,available,"ACS respondents observed in years 2010–2016 | Hispanic Mexicans (hispan==1, bpl==200) who are noncitizens (citizen==3) | Immigrated in 2007 or earlier and arrived before age 16 (yrimmig - birthyr <= 15) | Age between 15 and 35 with valid usual hours (1–98) to construct full-time employment indicator",full_time = (uhrswork >= 35) after filtering invalid hour codes,treatment = (year >= 2013).astype(int),OLS,"model = sm.OLS(y, X).fit(cov_type=""HC1"")",,,,HC1,-0.004832482196853591,0.008189557393172179,47164,success
run_20260131T095736Z_3689b3,2026-01-31T09:57:36Z,,gpt-5.1-codex-mini,gpt-5.1-codex-mini,,,available,"year between 2013 and 2016 | hispand in {100,102,103,104,105,106,107} | bpl == 200 | citizen == 3 | labforce == 1 | workedyr == 1",uhrswork >= 35,birthyr between 1981 and 1996 and yrimmig <= 2007 and (yrimmig - birthyr) between 0 and 15,OLS,"model = sm.OLS(y, X).fit()",,,,,0.0,0.0,58815,nonpositive_se
run_20260131T121111Z_dd494f,2026-01-31T12:11:11Z,,gpt-5.1-codex-mini,gpt-5.1-codex-mini,,,available,year between 2013 and 2016 | hispan == 1 | bpl == 200 | perwt > 0 | age between 18 and 40 | yrimmig > 0 | birthyr > 1900,((empstat == 1) & (uhrswork.fillna(0) >= 35)).astype(int),((birthyr >= 1982) & (yrimmig <= 2007) & (yrimmig <= birthyr + 15)).astype(int),WLS,"model = smf.wls(formula, data=df, weights=df['perwt']).fit(cov_type='HC1')",,,df['perwt'],HC1,-0.05623781116700938,0.003469013085120702,145487,success
run_20260131T124557Z_08ec25,2026-01-31T12:45:57Z,,gpt-5.1-codex-mini,gpt-5.1-codex-mini,,,available,year >= 2013 and year <= 2016 | hispan == 1 | bpl == 200 | age_at_immig >= 0 and age_at_immig < 16 | yearimmig <= 2006 | age_2012 >= 15 and age_2012 <= 45,(uhrswork >= 35) & (uhrswork < 98),(age_2012 >= 15) & (age_2012 <= 30),ADD_CONSTANT,"X = sm.add_constant(df[[""daca_eligible""]]); model = sm.OLS(df[""full_time""], X).fit(cov_type=""HC1"")",,,,HC1,-0.13289110036907778,0.0036045346649813594,74012,success
run_20260131T125933Z_9267ad,2026-01-31T12:59:33Z,,gpt-5.1-codex-mini,gpt-5.1-codex-mini,,,available,year >= 2013 and year <= 2016 | hispan == 1 | bpl == 200 | birthyr >= 1981 | yrimmig >= 2003 and yrimmig <= 2012,full_time,eligible,OLS,"result = sm.OLS(df['full_time'], sm.add_constant(df[['eligible']], has_constant='add')).fit()",,,,,-0.06822420028224893,0.0031728987466101742,100980,success
run_20260131T131309Z_f53a71,2026-01-31T13:13:09Z,,gpt-5.1-codex-mini,gpt-5.1-codex-mini,,,available,"2013 <= year <= 2016 | hispand in {100, 102, 103, 104, 105, 106, 107, 492} | bpl == 200 | yrimmig > 0",full_time = uhrswork >= 35,daca_eligible = 1982 <= birthyr <= 1996 and yrimmig <= 2007 and arrival_age between 0 and 15,unknown,"point_estimate = df.loc[treated, 'full_time'].mean() - df.loc[~treated, 'full_time'].mean()",,,,,0.05859089082859936,0.002549533009668347,359053,success
run_20260131T162103Z_c51da9,2026-01-31T16:21:03Z,,gpt-5.1-codex-mini,gpt-5.1-codex-mini,,,available,"year in range(2013,2017) | hispan == 1 | bpl == 200 | citizen in {3,4} | 18 <= age <= 40 | empstat == 1",int(uhrswork) >= 35,(1982 <= birthyr <= 1994) and (yrimmig <= 2007) and (0 <= (yrimmig - birthyr) <= 15),unknown,"treated = (birthyr >= 1982 and birthyr <= 1994 and yrimmig <= 2007 and 0 <= yrimmig - birthyr <= 15)
control = 1 - treated",,,,,,,,failed_validation
run_20260201T000142Z_b08e72,2026-02-01T00:01:42Z,,gpt-5.1-codex-mini,gpt-5.1-codex-mini,,,available,"year between 2013 and 2016 inclusive | age between 18 and 30 | Hispanic (hispan == 1) and Mexican origin (hispand == 100, bpl == 200) | positive person weight (perwt > 0) and valid immigration year (1900-2016)",full_time (uhrswork >= 35),daca_eligible ((birthyr >= 1981) & (birthyr <= 1994) & (yrimmig >= 1985) & (yrimmig <= year - 5)),OLS,"result = sm.OLS(y, X, weights=df[""perwt""]).fit()",,,"df[""perwt""]",,0.04752619953988778,0.00531323823581414,63574,success
